Gene.stable.ID	Gene.name
ENSCHAG00000014858	siglec1
ENSCHAG00000014864	cntn5
ENSCHAG00000014890	alcama
ENSCHAG00000014897	vsig10
ENSCHAG00000014917	plaat3
ENSCHAG00000014939	cntn5
ENSCHAG00000014990	
ENSCHAG00000015043	plaat4
ENSCHAG00000015045	cyp2m1
ENSCHAG00000015083	ugt3
ENSCHAG00000015089	
ENSCHAG00000015115	ceacam1
ENSCHAG00000015130	cntn5
ENSCHAG00000015139	nlrp1
ENSCHAG00000015151	aloxe3
ENSCHAG00000015162	cntn5
ENSCHAG00000015171	nlrp1
ENSCHAG00000015234	nlrp1
ENSCHAG00000015248	ugt3
ENSCHAG00000015258	fktn
ENSCHAG00000015375	cxcr3.3
ENSCHAG00000015386	si:ch211-215k15.4
ENSCHAG00000015403	
ENSCHAG00000015438	ifit9
ENSCHAG00000015447	ifit9
ENSCHAG00000015470	ifit5
ENSCHAG00000015483	clip3
ENSCHAG00000015546	parp9
ENSCHAG00000015560	ifit9
ENSCHAG00000015589	wu:fc75a09
ENSCHAG00000015606	
ENSCHAG00000015810	nlrp1
ENSCHAG00000015833	
ENSCHAG00000015926	aloxe3
ENSCHAG00000016035	cd48
ENSCHAG00000016052	emilin1
ENSCHAG00000016190	pycr3
ENSCHAG00000016367	cd48
ENSCHAG00000016480	cd48
ENSCHAG00000016502	tvp23b
ENSCHAG00000016517	si:dkey-40g16.6
ENSCHAG00000016527	pgbd4
ENSCHAG00000016578	aspm
ENSCHAG00000016636	cd276
ENSCHAG00000016646	PNMT
ENSCHAG00000016668	cd276
ENSCHAG00000016698	cd276
ENSCHAG00000016720	cd276
ENSCHAG00000016839	si:ch211-233a24.2
ENSCHAG00000016963	
ENSCHAG00000017004	gimap4
ENSCHAG00000017023	gimap7
ENSCHAG00000017045	gimap2
ENSCHAG00000017053	nlrp1
ENSCHAG00000017112	gal3st3
ENSCHAG00000017141	ppp1r37
ENSCHAG00000017181	nlrp12
ENSCHAG00000017186	nlrp1
ENSCHAG00000017467	mr1
ENSCHAG00000017547	pik3r5
ENSCHAG00000017564	ervk-7
ENSCHAG00000017601	mr1
ENSCHAG00000017615	mr1
ENSCHAG00000017746	samd9
ENSCHAG00000017769	samd9
ENSCHAG00000017770	asns
ENSCHAG00000017849	heg
ENSCHAG00000017902	cd276
ENSCHAG00000017905	cntn5
ENSCHAG00000017915	cntn1a
ENSCHAG00000017950	caprin2
ENSCHAG00000018007	gimap9
ENSCHAG00000018017	gimap9
ENSCHAG00000018027	gimap8
ENSCHAG00000018039	crp
ENSCHAG00000018080	gimap9
